features,model,accuracy,error
"('chroma', 'spectral_contrast', 'rolloff')",Dense NN,0.8035264611244202,
"('mfccs', 'chroma', 'zcr', 'centroid')",Dense NN,0.8035264611244202,
"('mfccs', 'zcr', 'centroid', 'rms_energy')",Dense NN,0.8010075688362122,
"('chroma', 'spectral_contrast', 'rolloff', 'centroid')",Dense NN,0.8010075688362122,
"('chroma', 'spectral_contrast', 'rolloff')",CNN,0.8010075688362122,
"('spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8010075688362122,
"('spectral_contrast', 'rolloff', 'centroid')",Dense NN,0.8010075688362122,
"('mfccs', 'centroid')",CNN,0.8010075688362122,
"('mfccs', 'zcr', 'centroid')",Dense NN,0.8010075688362122,
"('spectral_contrast', 'rolloff', 'rms_energy')",Dense NN,0.8010075688362122,
"('spectral_contrast', 'zcr', 'centroid', 'rms_energy')",LSTM,0.7984886765480042,
"('spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Dense NN,0.7959697842597961,
"('mfccs', 'chroma', 'zcr', 'centroid')",LSTM,0.7959697842597961,
"('mfccs', 'rms_energy')",Dense NN,0.7959697842597961,
"('mfccs', 'zcr', 'rolloff', 'centroid')",LSTM,0.7959697842597961,
"('spectral_contrast', 'centroid', 'rms_energy')",Dense NN,0.7959697842597961,
"('mfccs', 'zcr', 'rolloff', 'centroid')",Dense NN,0.7959697842597961,
"('mfccs', 'zcr', 'centroid')",LSTM,0.7934508919715881,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.7934508919715881,
"('spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",LSTM,0.7934508919715881,
"('spectral_contrast', 'rolloff')",Dense NN,0.7934508919715881,
"('spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",CNN,0.7909319996833801,
"('mfccs', 'zcr')",Dense NN,0.7909319996833801,
"('mfccs', 'chroma', 'zcr', 'centroid', 'rms_energy')",LSTM,0.7909319996833801,
"('mfccs', 'rolloff')",CNN,0.7909319996833801,
"('mfccs', 'zcr', 'centroid', 'rms_energy')",LSTM,0.7909319996833801,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rms_energy')",Dense NN,0.7909319996833801,
"('mfccs', 'centroid', 'rms_energy')",Dense NN,0.7909319996833801,
"('spectral_contrast', 'zcr', 'rolloff', 'centroid')",CNN,0.7884131073951721,
"('chroma', 'rolloff', 'rms_energy')",LSTM,0.7884131073951721,
"('chroma', 'zcr', 'rolloff')",LSTM,0.7884131073951721,
"('mfccs', 'chroma')",Dense NN,0.7884131073951721,
"('mfccs', 'chroma', 'zcr', 'rms_energy')",Dense NN,0.7858942151069641,
"('spectral_contrast', 'zcr', 'rolloff')",Dense NN,0.7858942151069641,
"('mfccs', 'centroid', 'rms_energy')",LSTM,0.7833753228187561,
"('spectral_contrast', 'rolloff', 'centroid')",CNN,0.7833753228187561,
"('spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.7833753228187561,
"('chroma', 'rolloff')",LSTM,0.7808564305305481,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.7808564305305481,
"('chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.7808564305305481,
"('mfccs', 'chroma', 'zcr')",Dense NN,0.7758186459541321,
"('chroma', 'zcr', 'rolloff', 'centroid')",LSTM,0.7732997536659241,
"('mfccs', 'zcr', 'rms_energy')",CNN,0.7707808613777161,
"('mfccs', 'zcr', 'rolloff', 'rms_energy')",LSTM,0.7707808613777161,
"('mfccs', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.7707808613777161,
"('mfccs', 'zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.7682619690895081,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'rms_energy')",LSTM,0.7682619690895081,
"('spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Dense NN,0.7682619690895081,
"('chroma', 'rolloff')",Dense NN,0.7657430768013,
"('mfccs', 'chroma', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.7657430768013,
"('chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",CNN,0.7657430768013,
"('chroma', 'rolloff', 'centroid')",CNN,0.7657430768013,
"('mfccs', 'rolloff')",Dense NN,0.760705292224884,
"('chroma', 'zcr', 'rolloff', 'rms_energy')",LSTM,0.760705292224884,
"('chroma', 'zcr', 'centroid')",LSTM,0.760705292224884,
"('mfccs', 'chroma')",LSTM,0.758186399936676,
"('spectral_contrast', 'zcr', 'rolloff', 'centroid')",Dense NN,0.758186399936676,
"('chroma', 'zcr', 'rolloff', 'centroid')",CNN,0.755667507648468,
"('chroma', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.75314861536026,
"('mfccs', 'rms_energy')",LSTM,0.75314861536026,
"('mfccs', 'zcr')",LSTM,0.75314861536026,
"('chroma', 'zcr', 'centroid', 'rms_energy')",LSTM,0.75314861536026,
"('mfccs', 'rolloff')",LSTM,0.75314861536026,
"('chroma', 'rolloff', 'centroid', 'rms_energy')",CNN,0.750629723072052,
"('mfccs', 'chroma', 'rolloff')",LSTM,0.750629723072052,
"('mfccs', 'rolloff', 'centroid')",LSTM,0.750629723072052,
"('chroma', 'zcr', 'rolloff')",CNN,0.750629723072052,
"('chroma', 'zcr', 'rolloff', 'rms_energy')",CNN,0.750629723072052,
"('mfccs',)",LSTM,0.748110830783844,
"('mfccs', 'chroma', 'centroid')",LSTM,0.748110830783844,
"('mfccs', 'chroma', 'zcr')",LSTM,0.743073046207428,
"('mfccs', 'zcr', 'rms_energy')",LSTM,0.743073046207428,
"('mfccs', 'chroma', 'zcr', 'rolloff')",LSTM,0.74055415391922,
"('mfccs', 'chroma', 'rms_energy')",LSTM,0.74055415391922,
"('chroma', 'zcr', 'centroid')",Dense NN,0.74055415391922,
"('mfccs', 'chroma', 'zcr', 'rms_energy')",LSTM,0.735516369342804,
"('zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.735516369342804,
"('chroma', 'rolloff', 'rms_energy')",CNN,0.732997477054596,
"('chroma', 'rolloff', 'rms_energy')",Dense NN,0.7304785847663879,
"('chroma', 'rolloff', 'centroid')",LSTM,0.7279596924781799,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.7254408001899719,
"('chroma', 'zcr', 'rolloff', 'rms_energy')",Dense NN,0.7254408001899719,
"('chroma', 'centroid', 'rms_energy')",CNN,0.7229219079017639,
"('chroma', 'zcr', 'centroid')",CNN,0.7229219079017639,
"('mfccs', 'zcr', 'rms_energy')",Dense NN,0.7204030156135559,
"('mfccs', 'zcr', 'rolloff')",LSTM,0.7204030156135559,
"('chroma', 'zcr', 'rolloff')",Dense NN,0.7178841233253479,
"('chroma', 'rolloff', 'centroid')",Dense NN,0.7153652310371399,
"('mfccs', 'chroma', 'rolloff', 'rms_energy')",LSTM,0.7103274464607239,
"('zcr', 'centroid')",Dense NN,0.7103274464607239,
"('chroma', 'zcr', 'centroid', 'rms_energy')",CNN,0.7078085541725159,
"('chroma', 'centroid', 'rms_energy')",LSTM,0.7078085541725159,
"('zcr', 'rolloff', 'rms_energy')",Dense NN,0.7052896618843079,
"('chroma', 'zcr', 'centroid', 'rms_energy')",Dense NN,0.7027707695960999,
"('chroma', 'centroid')",LSTM,0.7002518773078918,
"('zcr', 'rolloff')",Dense NN,0.7002518773078918,
"('chroma', 'zcr', 'rolloff', 'centroid')",Dense NN,0.6952140927314758,
"('chroma', 'centroid')",Dense NN,0.6826196312904358,
"('chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.6750629544258118,
