features,model,accuracy
"('spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.8312342569269522
"('mfccs', 'chroma', 'zcr', 'centroid')",Logistic Regression,0.8287153652392947
"('mfccs', 'zcr', 'centroid', 'rms_energy')",Logistic Regression,0.8287153652392947
"('mfccs', 'chroma', 'centroid')",Logistic Regression,0.8287153652392947
"('mfccs', 'zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.8287153652392947
"('chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8287153652392947
"('spectral_contrast', 'zcr', 'rolloff')",Logistic Regression,0.8261964735516373
"('chroma', 'rolloff', 'rms_energy')",Random Forest,0.8236775818639799
"('chroma', 'spectral_contrast', 'zcr', 'rms_energy')",SVM,0.818639798488665
"('chroma', 'spectral_contrast')",SVM,0.818639798488665
"('chroma', 'spectral_contrast', 'zcr')",SVM,0.818639798488665
"('chroma', 'rolloff', 'centroid')",Random Forest,0.818639798488665
"('chroma', 'spectral_contrast', 'rms_energy')",SVM,0.818639798488665
"('chroma', 'zcr', 'rolloff', 'centroid')",Random Forest,0.8161209068010076
"('mfccs', 'chroma', 'rms_energy')",Random Forest,0.8161209068010076
"('mfccs', 'chroma')",Random Forest,0.8136020151133502
"('chroma', 'zcr', 'rolloff', 'rms_energy')",Random Forest,0.8110831234256927
"('chroma', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8060453400503779
"('chroma', 'zcr', 'centroid', 'rms_energy')",Random Forest,0.8060453400503779
"('chroma', 'zcr', 'rolloff')",Random Forest,0.8035264483627204
"('mfccs', 'rms_energy')",Random Forest,0.801007556675063
"('chroma', 'zcr', 'rms_energy')",Random Forest,0.801007556675063
"('chroma', 'zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.7984886649874056
"('mfccs',)",Random Forest,0.7984886649874056
"('chroma', 'rolloff')",Random Forest,0.7984886649874056
"('chroma', 'zcr', 'rolloff')",Logistic Regression,0.7959697732997482
